# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2
22.192915;-6.413675;63.786062;-1.004351;-0.001297;7.500000;0.000000
22.392851;-6.306395;63.617323;-1.004621;-0.001404;7.500000;0.000000
22.592787;-6.199164;63.448558;-1.004913;-0.001512;7.500000;0.000000
22.792723;-6.091987;63.279764;-1.005226;-0.001620;7.500000;0.000000
22.992660;-5.984867;63.110940;-1.005561;-0.001728;7.500000;0.000000
23.192596;-5.877810;62.942085;-1.005917;-0.001836;7.500000;0.000000
23.392532;-5.770818;62.773197;-1.006295;-0.001944;7.500000;0.000000
23.592468;-5.663897;62.604274;-1.006694;-0.002052;7.500000;0.000000
23.792404;-5.557049;62.435315;-1.007115;-0.002160;7.500000;0.000000
23.992341;-5.450270;62.266304;-1.007536;-0.001762;7.500000;0.000000
24.192277;-5.343542;62.097244;-1.007784;-0.000727;7.500000;0.000000
24.392213;-5.236842;61.928175;-1.007826;0.000308;7.500000;0.000000
24.592149;-5.130134;61.759114;-1.007661;0.001343;7.500000;0.000000
24.792085;-5.023380;61.590082;-1.007289;0.002379;7.500000;0.000000
24.992021;-4.916544;61.421098;-1.006710;0.003414;7.500000;0.000000
25.191958;-4.809589;61.252183;-1.005924;0.004448;7.500000;0.000000
25.391894;-4.702480;61.083355;-1.004931;0.005483;7.500000;0.000000
25.591830;-4.595179;60.914634;-1.003732;0.006516;7.500000;0.000000
25.791766;-4.487649;60.746039;-1.002326;0.007549;7.500000;0.000000
25.991702;-4.379884;60.577633;-1.000770;0.007392;7.500000;0.000000
26.191638;-4.271891;60.409415;-0.999436;0.005959;7.500000;0.000000
26.391575;-4.163688;60.241310;-0.998388;0.004527;7.500000;0.000000
26.591511;-4.055326;60.073292;-0.997626;0.003096;7.500000;0.000000
26.791447;-3.946854;59.905332;-0.997150;0.001665;7.500000;0.000000
26.991383;-3.838322;59.737402;-0.996960;0.000235;7.500000;0.000000
27.191319;-3.729779;59.569473;-0.997056;-0.001196;7.500000;0.000000
27.391255;-3.621276;59.401518;-0.997438;-0.002626;7.500000;0.000000
27.591192;-3.512863;59.233507;-0.998106;-0.004056;7.500000;0.000000
27.791128;-3.404589;59.065414;-0.999060;-0.005487;7.500000;0.000000
27.991064;-3.296495;58.897199;-1.000228;-0.005521;7.500000;0.000000
28.191000;-3.188583;58.728864;-1.001205;-0.004244;7.500000;0.000000
28.390936;-3.080819;58.560443;-1.001925;-0.002966;7.500000;0.000000
28.590872;-2.973158;58.391964;-1.002391;-0.001688;7.500000;0.000000
28.790809;-2.865556;58.223453;-1.002601;-0.000410;7.500000;0.000000
28.990745;-2.757970;58.054937;-1.002555;0.000868;7.500000;0.000000
29.190681;-2.650357;57.886442;-1.002254;0.002146;7.500000;0.000000
29.390617;-2.542672;57.717994;-1.001697;0.003424;7.500000;0.000000
29.590553;-2.434873;57.549620;-1.000884;0.004702;7.500000;0.000000
29.790489;-2.326914;57.381347;-0.999817;0.005980;7.500000;0.000000
29.990426;-2.218752;57.213192;-0.998603;0.005268;7.500000;0.000000
30.190362;-2.110410;57.045142;-0.997783;0.002938;7.500000;0.000000
30.390298;-2.001969;56.877156;-0.997428;0.000608;7.500000;0.000000
30.590234;-1.893507;56.709183;-0.997540;-0.001722;7.500000;0.000000
30.790170;-1.785105;56.541174;-0.998117;-0.004052;7.500000;0.000000
30.990107;-1.676841;56.373081;-0.999160;-0.006383;7.500000;0.000000
31.190043;-1.568794;56.204854;-1.000669;-0.008714;7.500000;0.000000
31.389979;-1.461044;56.036445;-1.002644;-0.011045;7.500000;0.000000
31.589915;-1.353670;55.867804;-1.005086;-0.013377;7.500000;0.000000
31.789851;-1.246751;55.698882;-1.007993;-0.015709;7.500000;0.000000
31.989787;-1.140347;55.529610;-1.011224;-0.015604;7.500000;0.000000
32.189724;-1.034463;55.359997;-1.014163;-0.013790;7.500000;0.000000
32.389660;-0.929048;55.190095;-1.016739;-0.011976;7.500000;0.000000
32.589596;-0.824042;55.019943;-1.018952;-0.010162;7.500000;0.000000
32.789532;-0.719384;54.849581;-1.020802;-0.008347;7.500000;0.000000
32.989468;-0.615011;54.679047;-1.022290;-0.006533;7.500000;0.000000
33.189404;-0.510864;54.508380;-1.023414;-0.004718;7.500000;0.000000
33.389341;-0.406880;54.337619;-1.024176;-0.002903;7.500000;0.000000
33.589277;-0.302999;54.166804;-1.024575;-0.001088;7.500000;0.000000
33.789213;-0.199159;53.995973;-1.024611;0.000727;7.500000;0.000000
33.989149;-0.095290;53.825152;-1.024274;0.002704;7.500000;0.000000
34.189085;0.008670;53.654387;-1.023527;0.004777;7.500000;0.000000
34.389021;0.112791;53.483726;-1.022364;0.006851;7.500000;0.000000
34.588958;0.217145;53.313210;-1.020787;0.008924;7.500000;0.000000
34.788894;0.321803;53.142880;-1.018796;0.010997;7.500000;0.000000
34.988830;0.426838;52.972776;-1.016390;0.013069;7.500000;0.000000
35.188766;0.532321;52.802939;-1.013571;0.015138;7.500000;0.000000
35.388702;0.638326;52.633410;-1.010337;0.017206;7.500000;0.000000
35.588638;0.744924;52.464231;-1.006690;0.019271;7.500000;0.000000
35.788575;0.852187;52.295440;-1.002630;0.021332;7.500000;0.000000
35.988511;0.960121;52.127160;-0.998462;0.018840;7.500000;0.000000
36.188447;1.068676;51.959301;-0.995173;0.014070;7.500000;0.000000
36.388383;1.177720;51.791724;-0.992836;0.009306;7.500000;0.000000
36.588319;1.287086;51.624333;-0.991452;0.004545;7.500000;0.000000
36.788255;1.396612;51.457030;-0.991019;-0.000213;7.500000;0.000000
36.988192;1.506132;51.289719;-0.991537;-0.004971;7.500000;0.000000
37.188128;1.615485;51.122303;-0.993007;-0.009731;7.500000;0.000000
37.388064;1.724504;50.954684;-0.995429;-0.014493;7.500000;0.000000
37.588000;1.833026;50.786767;-0.998803;-0.019259;7.500000;0.000000
37.787936;1.940888;50.618454;-1.003129;-0.024031;7.500000;0.000000
37.987872;2.047992;50.449581;-1.007985;-0.022680;7.500000;0.000000
38.187809;2.154338;50.280210;-1.012120;-0.018673;7.500000;0.000000
38.387745;2.260042;50.110459;-1.015454;-0.014663;7.500000;0.000000
38.587681;2.365239;49.940413;-1.017984;-0.010651;7.500000;0.000000
38.787617;2.470067;49.770154;-1.019713;-0.006637;7.500000;0.000000
38.987553;2.574662;49.599766;-1.020638;-0.002621;7.500000;0.000000
39.187490;2.679162;49.429335;-1.020761;0.001395;7.500000;0.000000
39.387426;2.783702;49.258942;-1.020080;0.005413;7.500000;0.000000
39.587362;2.888421;49.088673;-1.018596;0.009432;7.500000;0.000000
39.787298;2.993455;48.918612;-1.016309;0.013452;7.500000;0.000000
39.987234;3.098939;48.748816;-1.013525;0.013315;7.500000;0.000000
40.187170;3.204875;48.579300;-1.011026;0.011687;7.500000;0.000000
40.387107;3.311206;48.410031;-1.008852;0.010058;7.500000;0.000000
40.587043;3.417881;48.240972;-1.007005;0.008428;7.500000;0.000000
40.786979;3.524845;48.072085;-1.005483;0.006798;7.500000;0.000000
40.986915;3.632046;47.903332;-1.004286;0.005169;7.500000;0.000000
41.186851;3.739431;47.734675;-1.003416;0.003539;7.500000;0.000000
41.386787;3.846946;47.566077;-1.002871;0.001910;7.500000;0.000000
41.586724;3.954538;47.397499;-1.002652;0.000282;7.500000;0.000000
41.786660;4.062155;47.228904;-1.002758;-0.001345;7.500000;0.000000
41.986596;4.169690;47.060343;-1.003136;-0.002272;7.500000;0.000000
42.186532;4.277147;46.891736;-1.003662;-0.002997;7.500000;0.000000
42.386468;4.384512;46.723050;-1.004334;-0.003722;7.500000;0.000000
42.586404;4.491757;46.554275;-1.005151;-0.004447;7.500000;0.000000
42.786341;4.598854;46.385402;-1.006112;-0.005173;7.500000;0.000000
42.986277;4.705773;46.216423;-1.007219;-0.005900;7.500000;0.000000
43.186213;4.812486;46.047328;-1.008472;-0.006628;7.500000;0.000000
43.386149;4.918965;45.878107;-1.009870;-0.007357;7.500000;0.000000
43.586085;5.025181;45.708754;-1.011414;-0.008088;7.500000;0.000000
43.786021;5.131105;45.539257;-1.013104;-0.008821;7.500000;0.000000
43.985958;5.236788;45.369513;-1.014615;-0.005527;7.500000;0.000000
44.185894;5.342280;45.199658;-1.015296;-0.001282;7.500000;0.000000
44.385830;5.447715;45.029798;-1.015127;0.002967;7.500000;0.000000
44.585766;5.553241;44.860016;-1.014109;0.007217;7.500000;0.000000
44.785702;5.659007;44.690395;-1.012242;0.011466;7.500000;0.000000
44.985638;5.765162;44.521017;-1.009525;0.015714;7.500000;0.000000
45.185575;5.871853;44.351965;-1.005960;0.019957;7.500000;0.000000
45.385511;5.979229;44.183320;-1.001546;0.024193;7.500000;0.000000
45.585447;6.087440;44.015167;-0.996286;0.028418;7.500000;0.000000
45.785383;6.196634;43.847587;-0.990181;0.032628;7.500000;0.000000
45.985319;6.306798;43.680814;-0.984126;0.026396;7.500000;0.000000
